iter	Passed	Remaining
0	151	151195
1	156	78304
2	161	53690
3	165	41310
4	170	33886
5	174	28887
6	178	25369
7	183	22796
8	187	20686
9	192	19039
10	196	17695
11	201	16605
12	206	15655
13	210	14832
14	215	14144
15	219	13529
16	224	12983
17	229	12542
18	232	12029
19	235	11547
20	238	11115
21	241	10730
22	244	10365
23	246	10027
24	249	9717
25	251	9432
26	254	9162
27	256	8906
28	259	8681
29	262	8477
30	264	8283
31	267	8101
32	270	7932
33	273	7768
34	275	7606
35	278	7459
36	281	7317
37	283	7183
38	285	7045
39	288	6926
40	290	6800
41	293	6689
42	295	6574
43	297	6471
44	300	6375
45	303	6285
46	305	6198
47	308	6112
48	310	6030
49	313	5952
50	315	5877
51	318	5804
52	320	5732
53	323	5666
54	325	5599
55	328	5530
56	329	5455
57	331	5378
58	332	5310
59	334	5237
60	335	5169
61	337	5103
62	339	5054
63	342	5003
64	343	4943
65	346	4898
66	348	4854
67	351	4814
68	353	4774
69	356	4736
70	358	4695
71	361	4656
72	363	4618
73	366	4583
74	368	4549
75	371	4511
76	373	4479
77	376	4447
78	378	4415
79	380	4376
80	382	4342
81	385	4310
82	386	4267
83	388	4241
84	391	4211
85	393	4180
86	395	4149
87	397	4121
88	400	4096
89	402	4071
90	405	4046
91	407	4021
92	410	3998
93	412	3976
94	415	3955
95	417	3933
96	420	3911
97	422	3889
98	425	3868
99	427	3848
100	430	3828
101	432	3808
102	434	3787
103	437	3768
104	439	3750
105	442	3730
106	444	3712
107	447	3695
108	450	3679
109	452	3662
110	455	3645
111	457	3628
112	460	3611
113	462	3595
114	464	3577
115	467	3562
116	469	3542
117	472	3528
118	474	3512
119	476	3497
120	479	3483
121	481	3463
122	483	3450
123	486	3436
124	488	3422
125	491	3408
126	493	3392
127	495	3378
128	498	3364
129	500	3350
130	502	3336
131	505	3323
132	507	3310
133	510	3296
134	512	3283
135	515	3272
136	517	3259
137	519	3246
138	522	3235
139	525	3225
140	527	3213
141	529	3198
142	531	3188
143	534	3177
144	536	3162
145	538	3148
146	540	3136
147	542	3123
148	544	3110
149	547	3102
150	550	3093
151	552	3084
152	555	3075
153	557	3063
154	560	3054
155	563	3046
156	565	3037
157	568	3027
158	570	3019
159	573	3010
160	575	2996
161	577	2985
162	579	2973
163	581	2965
164	584	2956
165	586	2948
166	589	2939
167	591	2930
168	593	2920
169	595	2909
170	597	2898
171	600	2888
172	602	2879
173	605	2872
174	607	2864
175	610	2856
176	612	2848
177	614	2839
178	617	2832
179	619	2824
180	622	2816
181	624	2808
182	627	2799
183	629	2792
184	632	2784
185	634	2777
186	637	2770
187	639	2764
188	642	2755
189	644	2748
190	647	2741
191	649	2734
192	652	2727
193	654	2719
194	656	2712
195	659	2704
196	662	2699
197	664	2692
198	667	2686
199	670	2681
200	673	2675
201	676	2670
202	678	2665
203	681	2659
204	683	2651
205	686	2645
206	688	2639
207	690	2630
208	693	2623
209	695	2616
210	698	2610
211	700	2604
212	703	2598
213	705	2592
214	708	2586
215	711	2581
216	714	2576
217	716	2569
218	718	2563
219	721	2556
220	723	2549
221	725	2543
222	728	2538
223	731	2532
224	733	2525
225	735	2520
226	738	2515
227	741	2509
228	743	2503
229	746	2498
230	748	2491
231	750	2484
232	752	2478
233	755	2472
234	757	2466
235	760	2461
236	762	2454
237	766	2452
238	768	2446
239	771	2441
240	773	2435
241	775	2430
242	778	2424
243	780	2419
244	783	2414
245	787	2412
246	789	2406
247	791	2400
248	793	2393
249	795	2387
250	798	2381
251	800	2375
252	802	2369
253	804	2363
254	806	2357
255	809	2352
256	811	2346
257	814	2341
258	816	2336
259	819	2331
260	821	2325
261	823	2320
262	826	2314
263	828	2309
264	830	2303
265	832	2298
266	835	2292
267	837	2287
268	839	2282
269	842	2276
270	844	2271
271	846	2266
272	849	2261
273	851	2256
274	854	2251
275	856	2247
276	859	2242
277	861	2237
278	863	2232
279	866	2227
280	868	2223
281	871	2218
282	874	2214
283	876	2209
284	879	2205
285	881	2201
286	884	2196
287	886	2191
288	889	2187
289	891	2183
290	894	2179
291	896	2174
292	899	2170
293	902	2166
294	904	2161
295	906	2156
296	909	2152
297	912	2148
298	914	2144
299	917	2140
300	919	2134
301	921	2130
302	924	2125
303	926	2121
304	929	2117
305	931	2112
306	934	2108
307	936	2104
308	939	2100
309	941	2096
310	944	2092
311	946	2087
312	949	2083
313	951	2079
314	954	2075
315	956	2070
316	958	2065
317	960	2060
318	962	2053
319	963	2047
320	965	2041
321	966	2036
322	968	2029
323	969	2023
324	971	2017
325	973	2012
326	976	2008
327	978	2004
328	980	1999
329	982	1994
330	984	1990
331	987	1986
332	989	1982
333	992	1978
334	994	1974
335	997	1970
336	999	1965
337	1001	1961
338	1004	1957
339	1006	1953
340	1008	1949
341	1011	1946
342	1014	1942
343	1016	1938
344	1019	1935
345	1021	1931
346	1024	1927
347	1026	1923
348	1028	1918
349	1031	1914
350	1033	1910
351	1035	1906
352	1038	1903
353	1040	1898
354	1042	1893
355	1044	1890
356	1047	1886
357	1049	1882
358	1052	1879
359	1054	1874
360	1056	1870
361	1059	1867
362	1061	1863
363	1064	1859
364	1067	1856
365	1069	1853
366	1072	1849
367	1074	1846
368	1077	1842
369	1079	1838
370	1082	1834
371	1084	1831
372	1087	1827
373	1089	1824
374	1092	1820
375	1095	1817
376	1097	1813
377	1099	1809
378	1101	1805
379	1104	1801
380	1106	1798
381	1109	1794
382	1111	1790
383	1114	1787
384	1116	1783
385	1119	1780
386	1121	1776
387	1123	1771
388	1124	1766
389	1126	1762
390	1128	1758
391	1130	1752
392	1131	1748
393	1133	1742
394	1134	1737
395	1135	1732
396	1136	1726
397	1138	1721
398	1139	1716
399	1140	1710
400	1141	1705
401	1142	1699
402	1143	1694
403	1144	1688
404	1146	1683
405	1146	1677
406	1147	1672
407	1148	1666
408	1149	1661
409	1150	1656
410	1151	1650
411	1152	1645
412	1156	1643
413	1160	1643
414	1164	1641
415	1167	1639
416	1170	1635
417	1172	1632
418	1175	1629
419	1177	1625
420	1179	1622
421	1181	1618
422	1184	1615
423	1186	1611
424	1188	1607
425	1189	1603
426	1191	1599
427	1198	1601
428	1200	1597
429	1201	1592
430	1202	1588
431	1204	1583
432	1207	1581
433	1212	1581
434	1216	1580
435	1220	1578
436	1222	1575
437	1225	1572
438	1227	1568
439	1230	1566
440	1232	1562
441	1234	1558
442	1235	1554
443	1238	1550
444	1240	1546
445	1241	1542
446	1243	1537
447	1244	1533
448	1245	1528
449	1246	1523
450	1248	1519
451	1249	1514
452	1250	1510
453	1251	1505
454	1252	1500
455	1253	1495
456	1255	1491
457	1256	1486
458	1257	1481
459	1258	1477
460	1259	1472
461	1260	1467
462	1261	1463
463	1262	1458
464	1263	1453
465	1264	1449
466	1266	1445
467	1268	1442
468	1271	1439
469	1274	1436
470	1275	1432
471	1277	1429
472	1280	1426
473	1282	1422
474	1283	1419
475	1286	1415
476	1288	1412
477	1289	1408
478	1291	1404
479	1293	1401
480	1296	1398
481	1297	1394
482	1299	1391
483	1301	1388
484	1304	1385
485	1306	1381
486	1308	1378
487	1310	1375
488	1313	1372
489	1316	1369
490	1318	1367
491	1321	1364
492	1322	1360
493	1325	1357
494	1326	1353
495	1329	1350
496	1331	1347
497	1334	1345
498	1337	1342
499	1339	1339
500	1342	1336
501	1345	1334
502	1347	1331
503	1350	1328
504	1352	1325
505	1355	1323
506	1358	1320
507	1361	1318
508	1363	1315
509	1366	1312
510	1368	1309
511	1371	1306
512	1373	1304
513	1376	1301
514	1378	1298
515	1381	1295
516	1383	1292
517	1385	1289
518	1388	1286
519	1390	1283
520	1392	1280
521	1395	1277
522	1397	1274
523	1400	1272
524	1403	1269
525	1406	1267
526	1408	1264
527	1411	1261
528	1413	1258
529	1415	1255
530	1418	1252
531	1420	1250
532	1423	1247
533	1426	1244
534	1427	1241
535	1429	1237
536	1431	1234
537	1434	1231
538	1436	1228
539	1439	1226
540	1442	1223
541	1444	1220
542	1446	1217
543	1449	1214
544	1451	1211
545	1454	1209
546	1456	1205
547	1458	1202
548	1460	1199
549	1462	1196
550	1464	1193
551	1467	1190
552	1469	1187
553	1471	1184
554	1474	1182
555	1476	1179
556	1479	1176
557	1481	1173
558	1484	1170
559	1486	1168
560	1489	1165
561	1491	1162
562	1493	1159
563	1495	1156
564	1498	1153
565	1500	1150
566	1503	1148
567	1505	1145
568	1508	1142
569	1510	1139
570	1513	1137
571	1515	1134
572	1518	1131
573	1520	1128
574	1523	1126
575	1526	1123
576	1528	1120
577	1531	1117
578	1533	1115
579	1536	1112
580	1538	1109
581	1541	1106
582	1543	1104
583	1546	1101
584	1548	1098
585	1550	1095
586	1553	1092
587	1555	1090
588	1558	1087
589	1561	1084
590	1563	1082
591	1566	1079
592	1568	1076
593	1571	1073
594	1573	1071
595	1576	1068
596	1578	1065
597	1580	1062
598	1583	1060
599	1586	1057
600	1588	1054
601	1590	1051
602	1593	1048
603	1595	1046
604	1598	1043
605	1600	1040
606	1603	1038
607	1605	1035
608	1608	1032
609	1610	1029
610	1613	1026
611	1615	1024
612	1618	1021
613	1620	1018
614	1622	1015
615	1624	1012
616	1627	1010
617	1629	1007
618	1632	1004
619	1634	1001
620	1636	998
621	1639	996
622	1641	993
623	1644	990
624	1646	988
625	1649	985
626	1651	982
627	1654	979
628	1656	977
629	1659	974
630	1662	972
631	1664	969
632	1667	966
633	1669	963
634	1671	960
635	1673	957
636	1676	955
637	1678	952
638	1681	949
639	1683	947
640	1686	944
641	1688	941
642	1691	938
643	1693	936
644	1696	933
645	1698	930
646	1700	927
647	1702	924
